distro,version,module,package,arch,build_id,source_url
ubuntu,17.2.7-0ubuntu0.22.04.1~cloud0,librbd.so.1,librbd1,amd64,62f088942b7767eabf3f7a211d55e1570a3b7bdd,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/yoga-staging/+build/27909260/+files/librbd1_17.2.7-0ubuntu0.22.04.1~cloud0_amd64.deb
ubuntu,17.2.7-0ubuntu0.22.04.1~cloud0,librados.so.2,librados2,amd64,fc2b885a83d389143d21b0e436d1039c6169d8e0,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/yoga-staging/+build/27909260/+files/librados2_17.2.7-0ubuntu0.22.04.1~cloud0_amd64.deb
ubuntu,17.2.7-0ubuntu0.22.04.1~cloud0,libceph-common.so.2,librados2,amd64,60540ba00e9c885fe1cbc20fc66a6bcbcef6e7dc,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/yoga-staging/+build/27909260/+files/librados2_17.2.7-0ubuntu0.22.04.1~cloud0_amd64.deb
ubuntu,17.2.7-0ubuntu0.22.04.1~cloud0,ceph-osd,ceph-osd,amd64,e427742f98a87fcfe343d5aaba10d9b07ce4c32f,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/yoga-staging/+build/27909260/+files/ceph-osd_17.2.7-0ubuntu0.22.04.1~cloud0_amd64.deb
ubuntu,19.2.0-0ubuntu0.24.04.2~cloud0,librbd.so.1,librbd1,amd64,a3f1e9db89cee48c44ae9d23434a7da70aea7317,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/caracal-staging/+build/29964632/+files/librbd1_19.2.0-0ubuntu0.24.04.2~cloud0_amd64.deb
ubuntu,19.2.0-0ubuntu0.24.04.2~cloud0,libceph-common.so.2,librados2,amd64,f5b2886579b5c465471b9b71d4e8ecf2f5147562,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/caracal-staging/+build/29964632/+files/librados2_19.2.0-0ubuntu0.24.04.2~cloud0_amd64.deb
ubuntu,19.2.0-0ubuntu0.24.04.2~cloud0,librados.so.2,librados2,amd64,b88ed685ad283f9259df920fa969bdc266e5cf3f,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/caracal-staging/+build/29964632/+files/librados2_19.2.0-0ubuntu0.24.04.2~cloud0_amd64.deb
ubuntu,19.2.1-0ubuntu0.24.04.2~cloud0,ceph-osd,ceph-osd,amd64,0d53e1cd97eca4d6b469ef503c3ab3faf0d57a5f,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/caracal-staging/+build/30963879/+files/ceph-osd_19.2.1-0ubuntu0.24.04.2~cloud0_amd64.deb
ubuntu,19.2.3-0ubuntu0.24.04.1~cloud0,libceph-common.so.2,librados2,amd64,1b3c93f1a202ebdbaa723ccd8df0ceaaffeea83d,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/caracal-staging/+build/31524845/+files/librados2_19.2.3-0ubuntu0.24.04.1~cloud0_amd64.deb
ubuntu,19.2.3-0ubuntu0.24.04.1~cloud0,librados.so.2,librados2,amd64,3fdbb3d7688d1fc7cee7e3424de889a907bb12cc,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/caracal-staging/+build/31524845/+files/librados2_19.2.3-0ubuntu0.24.04.1~cloud0_amd64.deb
ubuntu,19.2.3-0ubuntu0.24.04.1~cloud0,librbd.so.1,librbd1,amd64,36664c484f5b45508525c52badfe5fbbd9b2ca29,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/caracal-staging/+build/31524845/+files/librbd1_19.2.3-0ubuntu0.24.04.1~cloud0_amd64.deb
ubuntu,19.2.3-0ubuntu0.24.04.1~cloud0,ceph-osd,ceph-osd,amd64,e5aa09c2c41c7a6fe89fd00d00d6377ed668e04e,https://launchpad.net/~ubuntu-cloud-archive/+archive/ubuntu/caracal-staging/+build/31524845/+files/ceph-osd_19.2.3-0ubuntu0.24.04.1~cloud0_amd64.deb
